"Symbol","Name","Sector","Industry"
"NTAP","NetApp, Inc.","Technology","Electronic Components"
"NYMT","New York Mortgage Trust, Inc.","Consumer Services","Real Estate Investment Trusts"
"NEWS","NewStar Financial, Inc.","Finance","Finance: Consumer Services"
"NEWT","Newtek Business Services Corp.","n/a","n/a"
"NXST","Nexstar Media Group, Inc.","Consumer Services","Broadcasting"
"EGOV","NIC Inc.","Miscellaneous","Business Services"
"NICE","NICE Ltd","Technology","Computer Manufacturing"
"NICK","Nicholas Financial, Inc.","Finance","Finance Companies"
"NNBR","NN, Inc.","Capital Goods","Metal Fabrications"
"NDSN","Nordson Corporation","Capital Goods","Industrial Machinery/Components"
"NBN","Northeast Bancorp","Finance","Major Banks"
"NTRS","Northern Trust Corporation","Finance","Major Banks"
"NFBK","Northfield Bancorp, Inc.","Finance","Savings Institutions"
"NRIM","Northrim BanCorp Inc","Finance","Savings Institutions"
"NWBI","Northwest Bancshares, Inc.","Finance","Major Banks"
"NWFL","Norwood Financial Corp.","Finance","Major Banks"
"NUTR","Nutraceutical International Corporation","Consumer Durables","Specialty Chemicals"
"NTRI","NutriSystem Inc","Consumer Services","Catalog/Specialty Distribution"
"NVEC","NVE Corporation","Technology","Semiconductors"
"NVDA","NVIDIA Corporation","Technology","Semiconductors"
"OVLY","Oak Valley Bancorp (CA)","Finance","Major Banks"
"OCFC","OceanFirst Financial Corp.","Finance","Savings Institutions"
"OFED","Oconee Federal Financial Corp.","Finance","Savings Institutions"
"ODP","Office Depot, Inc.","Consumer Services","Other Specialty Stores"
"OFS","OFS Capital Corporation","n/a","n/a"
"OVBC","Ohio Valley Banc Corp.","Finance","Major Banks"
"ODFL","Old Dominion Freight Line, Inc.","Transportation","Trucking Freight/Courier Services"
"OLBK","Old Line Bancshares, Inc.","Finance","Major Banks"
"ONB","Old National Bancorp","Finance","Major Banks"
"OPOF","Old Point Financial Corporation","Finance","Major Banks"
"OSBC","Old Second Bancorp, Inc.","Finance","Major Banks"
"ZEUS","Olympic Steel, Inc.","Basic Industries","Metal Fabrications"
"OTEX","Open Text Corporation","Technology","EDP Services"
"OPB","Opus Bank","n/a","n/a"
"ORIT","Oritani Financial Corp.","Finance","Major Banks"
"ORRF","Orrstown Financial Services Inc","Finance","Major Banks"
"OTTW","Ottawa Bancorp, Inc.","Finance","Savings Institutions"
"OTTR","Otter Tail Corporation","Public Utilities","Electric Utilities: Central"
"OXBR","Oxbridge Re Holdings Limited","Finance","Property-Casualty Insurers"
"PCAR","PACCAR Inc.","Capital Goods","Auto Manufacturing"
"PCBK","Pacific Continental Corporation (Ore)","Finance","Major Banks"
"PACW","PacWest Bancorp","Finance","Major Banks"
"PAAS","Pan American Silver Corp.","Basic Industries","Precious Metals"
"PZZA","Papa John&#39;s International, Inc.","Consumer Services","Restaurants"
"PSTB","Park Sterling Corporation","Finance","Major Banks"
"PKBK","Parke Bancorp, Inc.","Finance","Major Banks"
"PKOH","Park-Ohio Holdings Corp.","Capital Goods","Industrial Specialties"
"PBHC","Pathfinder Bancorp, Inc.","Finance","Major Banks"
"PDCO","Patterson Companies, Inc.","Health Care","Medical Specialities"
"PAYX","Paychex, Inc.","Consumer Services","Diversified Commercial Services"
"PBBI","PB Bancorp, Inc.","Finance","Savings Institutions"
"PGC","Peapack-Gladstone Financial Corporation","Finance","Commercial Banks"
"PEGA","Pegasystems Inc.","Technology","EDP Services"
"PWOD","Penns Woods Bancorp, Inc.","Finance","Major Banks"
"PEBO","Peoples Bancorp Inc.","Finance","Major Banks"
"PEBK","Peoples Bancorp of North Carolina, Inc.","Finance","Major Banks"
"PFBX","Peoples Financial Corporation","Finance","Major Banks"
"PFIS","Peoples Financial Services Corp. ","Finance","Major Banks"
"PBCT","People&#39;s United Financial, Inc.","Finance","Savings Institutions"
"PUB","People&#39;s Utah Bancorp","Finance","Major Banks"
"PETS","PetMed Express, Inc.","Health Care","Medical/Nursing Services"
"PAHC","Phibro Animal Health Corporation","Health Care","Major Pharmaceuticals"
"PNFP","Pinnacle Financial Partners, Inc.","Finance","Major Banks"
"PLBC","Plumas Bancorp","Finance","Finance Companies"
"PBSK","Poage Bankshares, Inc.","Finance","Savings Institutions"
"POOL","Pool Corporation","Consumer Durables","Industrial Specialties"
"POPE","Pope Resources","Consumer Non-Durables","Environmental Services"
"BPOP","Popular, Inc.","Finance","Major Banks"
"PCH","Potlatch Corporation","Consumer Services","Real Estate Investment Trusts"
"POWL","Powell Industries, Inc.","Consumer Durables","Electrical Products"
"POWI","Power Integrations, Inc.","Technology","Semiconductors"
"PLPC","Preformed Line Products Company","Basic Industries","Water Supply"
"PFBI","Premier Financial Bancorp, Inc.","Finance","Major Banks"
"PSMT","PriceSmart, Inc.","Consumer Services","Department/Specialty Retail Stores"
"PRIM","Primoris Services Corporation","Basic Industries","Water Supply"
"PVTB","PrivateBancorp, Inc.","Finance","Major Banks"
"PROV","Provident Financial Holdings, Inc.","Finance","Savings Institutions"
"PBIP","Prudential Bancorp, Inc.","Finance","Banks"
"PMD","Psychemedics Corporation","Health Care","Medical Specialities"
"QCRH","QCR Holdings, Inc.","Finance","Major Banks"
"QCOM","QUALCOMM Incorporated","Technology","Radio And Television Broadcasting And Communications Equipment"
"RAVN","Raven Industries, Inc.","Capital Goods","Specialty Chemicals"
"RICK","RCI Hospitality Holdings, Inc.","Consumer Services","Restaurants"
"RRR","Red Rock Resorts, Inc.","Consumer Services","Hotels/Resorts"
"REIS","Reis, Inc","Miscellaneous","Business Services"
"RNST","Renasant Corporation","Finance","Major Banks"
"RBCAA","Republic Bancorp, Inc.","Finance","Major Banks"
"RECN","Resources Connection, Inc.","Miscellaneous","Business Services"
"ROIC","Retail Opportunity Investments Corp.","Consumer Services","Real Estate Investment Trusts"
"RGCO","RGC Resources Inc.","Public Utilities","Oil & Gas Production"
"RVSB","Riverview Bancorp Inc","Finance","Savings Institutions"
"RMCF","Rocky Mountain Chocolate Factory, Inc.","Consumer Non-Durables","Specialty Foods"
"ROST","Ross Stores, Inc.","Consumer Services","Clothing/Shoe/Accessory Stores"
"RGLD","Royal Gold, Inc.","Basic Industries","Precious Metals"
"RUTH","Ruth&#39;s Hospitality Group, Inc.","Consumer Services","Restaurants"
"STBA","S&T Bancorp, Inc.","Finance","Major Banks"
"SBRA","Sabra Healthcare REIT, Inc.","Consumer Services","Real Estate Investment Trusts"
"SABR","Sabre Corporation","Technology","Computer Software: Programming, Data Processing"
"SAFT","Safety Insurance Group, Inc.","Finance","Property-Casualty Insurers"
"SALM","Salem Media Group, Inc.","Consumer Services","Broadcasting"
"SAL","Salisbury Bancorp, Inc.","Finance","Savings Institutions"
"SAFM","Sanderson Farms, Inc.","Consumer Non-Durables","Meat/Poultry/Fish"
"SASR","Sandy Spring Bancorp, Inc.","Finance","Major Banks"
"SBFG","SB Financial Group, Inc.","Finance","Major Banks"
"SCHN","Schnitzer Steel Industries, Inc.","Consumer Durables","Industrial Specialties"
"SCHL","Scholastic Corporation","Consumer Services","Books"
"SNI","Scripps Networks Interactive, Inc","Consumer Services","Television Services"
"STX","Seagate Technology PLC","Technology","Electronic Components"
"SEIC","SEI Investments Company","Finance","Investment Bankers/Brokers/Service"
"SIGI","Selective Insurance Group, Inc.","Finance","Property-Casualty Insurers"
"SNH","Senior Housing Properties Trust","Consumer Services","Real Estate Investment Trusts"
"SFBS","ServisFirst Bancshares, Inc.","Finance","Major Banks"
"SCVL","Shoe Carnival, Inc.","Consumer Services","Clothing/Shoe/Accessory Stores"
"SHBI","Shore Bancshares Inc","Finance","Major Banks"
"SIFI","SI Financial Group, Inc.","Finance","Savings Institutions"
"BSRR","Sierra Bancorp","Finance","Major Banks"
"SLGN","Silgan Holdings Inc.","Consumer Durables","Containers/Packaging"
"SILC","Silicom Ltd","Technology","Computer Communications Equipment"
"SAMG","Silvercrest Asset Management Group Inc.","Finance","Investment Managers"
"SFNC","Simmons First National Corporation","Finance","Major Banks"
"SLP","Simulations Plus, Inc.","Technology","EDP Services"
"SBGI","Sinclair Broadcast Group, Inc.","Consumer Services","Broadcasting"
"SIRI","Sirius XM Holdings Inc.","Consumer Services","Broadcasting"
"SWKS","Skyworks Solutions, Inc.","Technology","Semiconductors"
"SLM","SLM Corporation","Finance","Finance: Consumer Services"
"LNCE","Snyder&#39;s-Lance, Inc.","Consumer Non-Durables","Specialty Foods"
"SONC","Sonic Corp.","Consumer Services","Restaurants"
"SOHO","Sotherly Hotels Inc.","Consumer Services","Real Estate Investment Trusts"
"SFBC","Sound Financial Bancorp, Inc.","Finance","Savings Institutions"
"SSB","South State Corporation","Finance","Major Banks"
"SMBC","Southern Missouri Bancorp, Inc.","Finance","Banks"
"SONA","Southern National Bancorp of Virginia, Inc.","Finance","Major Banks"
"SBSI","Southside Bancshares, Inc.","Finance","Major Banks"
"OKSB","Southwest Bancorp, Inc.","Finance","Major Banks"
"SPAN","Span-America Medical Systems, Inc.","Health Care","Industrial Specialties"
"SPKE","Spark Energy, Inc.","Public Utilities","Power Generation"
"SPAR","Spartan Motors, Inc.","Capital Goods","Auto Manufacturing"
"SPTN","SpartanNash Company","Consumer Non-Durables","Food Distributors"
"SPOK","Spok Holdings, Inc.","Public Utilities","Telecommunications Equipment"
"SSNC","SS&C Technologies Holdings, Inc.","Technology","Computer Software: Prepackaged Software"
"SBUX","Starbucks Corporation","Consumer Services","Restaurants"
"STFC","State Auto Financial Corporation","Finance","Property-Casualty Insurers"
"STBZ","State Bank Financial Corporation.","Finance","Major Banks"
"SNC","State National Companies, Inc.","Finance","Property-Casualty Insurers"
"STLD","Steel Dynamics, Inc.","Basic Industries","Steel/Iron Ore"
"SSFN","Stewardship Financial Corp","Finance","Major Banks"
"SYBT","Stock Yards Bancorp, Inc.","Finance","Major Banks"
"STRT","Strattec Security Corporation","Capital Goods","Auto Parts:O.E.M."
"STRA","Strayer Education, Inc.","Consumer Services","Other Consumer Services"
"SMMF","Summit Financial Group, Inc.","Finance","Major Banks"
"SSBI","Summit State Bank","n/a","n/a"
"SNBC","Sun Bancorp, Inc.","Finance","Commercial Banks"
"SNHY","Sun Hydraulics Corporation","Capital Goods","Metal Fabrications"
"SGC","Superior Uniform Group, Inc.","Consumer Non-Durables","Apparel"
"SBBX","Sussex Bancorp","Finance","Major Banks"
"SYPR","Sypris Solutions, Inc.","Capital Goods","Industrial Machinery/Components"
"TROW","T. Rowe Price Group, Inc.","Finance","Investment Bankers/Brokers/Service"
"TEDU","Tarena International, Inc.","Consumer Services","Other Consumer Services"
"TATT","TAT Technologies Ltd.","Capital Goods","Aerospace"
"AMTD","TD Ameritrade Holding Corporation","Finance","Investment Bankers/Brokers/Service"
"TGLS","Tecnoglass Inc.","Consumer Durables","Electronic Components"
"TTEC","TeleTech Holdings, Inc.","Technology","Professional Services"
"TBNK","Territorial Bancorp Inc.","Finance","Savings Institutions"
"TESS","TESSCO Technologies Incorporated","Consumer Non-Durables","Electronic Components"
"TTEK","Tetra Tech, Inc.","Consumer Services","Military/Government/Technical"
"TXN","Texas Instruments Incorporated","Technology","Semiconductors"
"TXRH","Texas Roadhouse, Inc.","Consumer Services","Restaurants"
"ANDE","The Andersons, Inc.","Consumer Services","Farming/Seeds/Milling"
"CG","The Carlyle Group L.P.","Finance","Investment Managers"
"CAKE","The Cheesecake Factory Incorporated","Consumer Services","Restaurants"
"TCFC","The Community Financial Corporation","Finance","Major Banks"
"ENSG","The Ensign Group, Inc.","Health Care","Hospital/Nursing Management"
"FINL","The Finish Line, Inc.","Consumer Services","Clothing/Shoe/Accessory Stores"
"FBMS","The First Bancshares, Inc.","Finance","Major Banks"
"FLIC","The First of Long Island Corporation","Finance","Major Banks"
"GT","The Goodyear Tire & Rubber Company","Consumer Durables","Automotive Aftermarket"
"HCKT","The Hackett Group, Inc.","Consumer Services","Professional Services"
"KHC","The Kraft Heinz Company","Consumer Non-Durables","Packaged Foods"
"NAVG","The Navigators Group, Inc.","Finance","Property-Casualty Insurers"
"RMR","The RMR Group Inc.","Consumer Services","Professional Services"
"YORW","The York Water Company","Public Utilities","Water Supply"
"TTS","Tile Shop Hldgs, Inc.","Consumer Services","Home Furnishings"
"TSBK","Timberland Bancorp, Inc.","Finance","Banks"
"TIPT","Tiptree Inc.","Finance","Property-Casualty Insurers"
"TIVO","TiVo Corporation","Miscellaneous","Multi-Sector Companies"
"TOWN","Towne Bank","n/a","n/a"
"TSCO","Tractor Supply Company","Consumer Services","RETAIL: Building Materials"
"TACT","TransAct Technologies Incorporated","Technology","Computer peripheral equipment"
"TCBK","TriCo Bancshares","Finance","Major Banks"
"TRST","TrustCo Bank Corp NY","Finance","Major Banks"
"TRMK","Trustmark Corporation","Finance","Major Banks"
"FOX","Twenty-First Century Fox, Inc.","Consumer Services","Television Services"
"FOXA","Twenty-First Century Fox, Inc.","Consumer Services","Television Services"
"TRCB","Two River Bancorp","Finance","Major Banks"
"UMBF","UMB Financial Corporation","Finance","Major Banks"
"UMPQ","Umpqua Holdings Corporation","Finance","Savings Institutions"
"UBSH","Union Bankshares Corporation","Finance","Major Banks"
"UNB","Union Bankshares, Inc.","Finance","Major Banks"
"UBCP","United Bancorp, Inc.","Finance","Major Banks"
"UBOH","United Bancshares, Inc.","Finance","Major Banks"
"UBSI","United Bankshares, Inc.","Finance","Major Banks"
"UCBA","United Community Bancorp","Finance","Savings Institutions"
"UCBI","United Community Banks, Inc.","Finance","Major Banks"
"UCFC","United Community Financial Corp.","Finance","Banks"
"UBNK","United Financial Bancorp, Inc. ","Finance","Banks"
"UFCS","United Fire Group, Inc","Finance","Property-Casualty Insurers"
"UIHC","United Insurance Holdings Corp.","Finance","Property-Casualty Insurers"
"UBFO","United Security Bancshares","Finance","Major Banks"
"USLM","United States Lime & Minerals, Inc.","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)"
"UG","United-Guardian, Inc.","Consumer Non-Durables","Package Goods/Cosmetics"
"UNTY","Unity Bancorp, Inc.","Finance","Major Banks"
"OLED","Universal Display Corporation","Capital Goods","Electrical Products"
"UFPI","Universal Forest Products, Inc.","Basic Industries","Forest Products"
"ULH","Universal Logistics Holdings, Inc.","Transportation","Trucking Freight/Courier Services"
"UVSP","Univest Corporation of Pennsylvania","Finance","Major Banks"
"ECOL","US Ecology, Inc.","Public Utilities","Environmental Services"
"UTMD","Utah Medical Products, Inc.","Health Care","Medical/Dental Instruments"
"VALU","Value Line, Inc.","Finance","Investment Managers"
"VIA","Viacom Inc.","Consumer Services","Television Services"
"VIAB","Viacom Inc.","Consumer Services","Television Services"
"VLGEA","Village Super Market, Inc.","Consumer Services","Food Chains"
"VNOM","Viper Energy Partners LP","Energy","Oil & Gas Production"
"VIRT","Virtu Financial, Inc.","Finance","Investment Bankers/Brokers/Service"
"VRTS","Virtus Investment Partners, Inc.","Finance","Investment Managers"
"VSEC","VSE Corporation","Consumer Services","Military/Government/Technical"
"WBA","Walgreens Boots Alliance, Inc.","Health Care","Medical/Nursing Services"
"WAFD","Washington Federal, Inc.","Finance","Major Banks"
"WASH","Washington Trust Bancorp, Inc.","Finance","Major Banks"
"WFBI","WashingtonFirst Bankshares Inc","Finance","Major Banks"
"WSBF","Waterstone Financial, Inc.","Finance","Savings Institutions"
"WAYN","Wayne Savings Bancshares Inc.","Finance","Savings Institutions"
"WSTG","Wayside Technology Group, Inc.","Technology","Retail: Computer Software & Peripheral Equipment"
"WCFB","WCF Bancorp, Inc.","Finance","Major Banks"
"WDFC","WD-40 Company","Basic Industries","Major Chemicals"
"WEBK","Wellesley Bancorp, Inc.","Finance","Banks"
"WEN","Wendy&#39;s Company (The)","Consumer Services","Restaurants"
"WERN","Werner Enterprises, Inc.","Transportation","Trucking Freight/Courier Services"
"WSBC","WesBanco, Inc.","Finance","Major Banks"
"WTBA","West Bancorporation","Finance","Major Banks"
"WSTC","West Corporation","Miscellaneous","Business Services"
"WABC","Westamerica Bancorporation","Finance","Major Banks"
"WNEB","Western New England Bancorp, Inc.","Finance","Savings Institutions"
"WEYS","Weyco Group, Inc.","Consumer Non-Durables","Apparel"
"WFM","Whole Foods Market, Inc.","Consumer Services","Food Chains"
"WLTW","Willis Towers Watson Public Limited Company","Finance","Specialty Insurers"
"WING","Wingstop Inc.","Consumer Services","Restaurants"
"WINA","Winmark Corporation","Consumer Services","Other Specialty Stores"
"WTFC","Wintrust Financial Corporation","Finance","Major Banks"
"WETF","WisdomTree Investments, Inc.","Finance","Investment Bankers/Brokers/Service"
"WWD","Woodward, Inc.","Energy","Industrial Machinery/Components"
"WSFS","WSFS Financial Corporation","Finance","Major Banks"
"WVFC","WVS Financial Corp.","Finance","Banks"
"WYNN","Wynn Resorts, Limited","Consumer Services","Hotels/Resorts"
"XLNX","Xilinx, Inc.","Technology","Semiconductors"
"ZION","Zions Bancorporation","Finance","Major Banks"
